Country,Subregion,Region
Uganda,Sub-Saharan Africa,Africa
Iran (Islamic Republic of),Southern Asia,Asia
Philippines,South-eastern Asia,Asia
United States of America,Northern America,Americas
Viet Nam,South-eastern Asia,Asia
Italy,Southern Europe,Europe
Thailand,South-eastern Asia,Asia
Bosnia and Herzegovina,Southern Europe,Europe
United Republic of Tanzania,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Iceland,Northern Europe,Europe
India,Southern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Namibia,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Colombia,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Zimbabwe,Sub-Saharan Africa,Africa
Thailand,South-eastern Asia,Asia
China,Eastern Asia,Asia
Somalia,Sub-Saharan Africa,Africa
Thailand,South-eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Egypt,Northern Africa,Africa
China,Eastern Asia,Asia
Israel,Western Asia,Asia
Jordan,Western Asia,Asia
Eswatini,Sub-Saharan Africa,Africa
Australia,Australia and New Zealand,Oceania
Colombia,Latin America and the Caribbean,Americas
Morocco,Northern Africa,Africa
Sudan,Northern Africa,Africa
Indonesia,South-eastern Asia,Asia
China,Eastern Asia,Asia
Zambia,Sub-Saharan Africa,Africa
Ethiopia,Sub-Saharan Africa,Africa
Paraguay,Latin America and the Caribbean,Americas
Pakistan,Southern Asia,Asia
Madagascar,Sub-Saharan Africa,Africa
Mozambique,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Mozambique,Sub-Saharan Africa,Africa
Mexico,Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Tuvalu,Polynesia,Oceania
China,Eastern Asia,Asia
Brazil,Latin America and the Caribbean,Americas
Argentina,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Malawi,Sub-Saharan Africa,Africa
Pakistan,Southern Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Hungary,Eastern Europe,Europe
Romania,Eastern Europe,Europe
Romania,Eastern Europe,Europe
China,Eastern Asia,Asia
Egypt,Northern Africa,Africa
United States of America,Northern America,Americas
Peru,Latin America and the Caribbean,Americas
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Chad,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Ethiopia,Sub-Saharan Africa,Africa
United Republic of Tanzania,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Thailand,South-eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Iran (Islamic Republic of),Southern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
South Africa,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
India,Southern Asia,Asia
Sierra Leone,Sub-Saharan Africa,Africa
Thailand,South-eastern Asia,Asia
Angola,Sub-Saharan Africa,Africa
Iran (Islamic Republic of),Southern Asia,Asia
China,Eastern Asia,Asia
Austria,Western Europe,Europe
China,Eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Niger,Sub-Saharan Africa,Africa
Malaysia,South-eastern Asia,Asia
Cameroon,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Russian Federation,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Sri Lanka,Southern Asia,Asia
Czechia,Eastern Europe,Europe
Romania,Eastern Europe,Europe
Ukraine,Eastern Europe,Europe
China,Eastern Asia,Asia
Côte d’Ivoire,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Japan,Eastern Asia,Asia
Brazil,Latin America and the Caribbean,Americas
Madagascar,Sub-Saharan Africa,Africa
Mozambique,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Panama,Latin America and the Caribbean,Americas
Central African Republic,Sub-Saharan Africa,Africa
Benin,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Zambia,Sub-Saharan Africa,Africa
Romania,Eastern Europe,Europe
Türkiye,Western Asia,Asia
China,Eastern Asia,Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Hungary,Eastern Europe,Europe
Morocco,Northern Africa,Africa
Angola,Sub-Saharan Africa,Africa
Republic of Korea,Eastern Asia,Asia
Serbia Montenegro,Southern Europe,Europe
Kenya,Sub-Saharan Africa,Africa
Benin,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Guatemala,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Bermuda,Northern America,Americas
Ecuador,Latin America and the Caribbean,Americas
Ecuador,Latin America and the Caribbean,Americas
Ecuador,Latin America and the Caribbean,Americas
Kenya,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
India,Southern Asia,Asia
China,Eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Saudi Arabia,Western Asia,Asia
Australia,Australia and New Zealand,Oceania
Honduras,Latin America and the Caribbean,Americas
French Guiana,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Somalia,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Philippines,South-eastern Asia,Asia
Congo,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Bangladesh,Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
Russian Federation,Eastern Europe,Europe
United States of America,Northern America,Americas
Philippines,South-eastern Asia,Asia
Kazakhstan,Central Asia,Asia
India,Southern Asia,Asia
China,Eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Burundi,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Micronesia (Federated States of),Micronesia,Oceania
Mozambique,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Bosnia and Herzegovina,Southern Europe,Europe
Egypt,Northern Africa,Africa
Benin,Sub-Saharan Africa,Africa
Netherlands (Kingdom of the),Western Europe,Europe
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
Australia,Australia and New Zealand,Oceania
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
Germany,Western Europe,Europe
Argentina,Latin America and the Caribbean,Americas
Cameroon,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Somalia,Sub-Saharan Africa,Africa
Angola,Sub-Saharan Africa,Africa
Türkiye,Western Asia,Asia
United States of America,Northern America,Americas
United States of America,Northern America,Americas
Senegal,Sub-Saharan Africa,Africa
Colombia,Latin America and the Caribbean,Americas
Ecuador,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Belarus,Eastern Europe,Europe
China,Eastern Asia,Asia
United States of America,Northern America,Americas
Türkiye,Western Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Japan,Eastern Asia,Asia
Uruguay,Latin America and the Caribbean,Americas
Mexico,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
United States of America,Northern America,Americas
China,Eastern Asia,Asia
Türkiye,Western Asia,Asia
Tunisia,Northern Africa,Africa
Bangladesh,Southern Asia,Asia
Russian Federation,Eastern Europe,Europe
Iran (Islamic Republic of),Southern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Iran (Islamic Republic of),Southern Asia,Asia
United Republic of Tanzania,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
China,Eastern Asia,Asia
Türkiye,Western Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Russian Federation,Eastern Europe,Europe
United States of America,Northern America,Americas
United States of America,Northern America,Americas
China,Eastern Asia,Asia
Guatemala,Latin America and the Caribbean,Americas
Zimbabwe,Sub-Saharan Africa,Africa
Malawi,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Greece,Southern Europe,Europe
Afghanistan,Southern Asia,Asia
India,Southern Asia,Asia
Pakistan,Southern Asia,Asia
India,Southern Asia,Asia
Chile,Latin America and the Caribbean,Americas
Austria,Western Europe,Europe
Guinea,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Central African Republic,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
United States of America,Northern America,Americas
Indonesia,South-eastern Asia,Asia
Niger,Sub-Saharan Africa,Africa
Liberia,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Croatia,Southern Europe,Europe
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Cyprus,Western Asia,Asia
China,Eastern Asia,Asia
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
India,Southern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Mali,Sub-Saharan Africa,Africa
Iceland,Northern Europe,Europe
Ukraine,Eastern Europe,Europe
United States of America,Northern America,Americas
Brazil,Latin America and the Caribbean,Americas
Central African Republic,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
Iran (Islamic Republic of),Southern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Nicaragua,Latin America and the Caribbean,Americas
Guinea,Sub-Saharan Africa,Africa
Guinea,Sub-Saharan Africa,Africa
Australia,Australia and New Zealand,Oceania
China,Eastern Asia,Asia
Pakistan,Southern Asia,Asia
Bangladesh,Southern Asia,Asia
Russian Federation,Eastern Europe,Europe
Ghana,Sub-Saharan Africa,Africa
France,Western Europe,Europe
France,Western Europe,Europe
India,Southern Asia,Asia
Spain,Southern Europe,Europe
United States of America,Northern America,Americas
Viet Nam,South-eastern Asia,Asia
Pakistan,Southern Asia,Asia
United States of America,Northern America,Americas
Nigeria,Sub-Saharan Africa,Africa
Liberia,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Sierra Leone,Sub-Saharan Africa,Africa
Kazakhstan,Central Asia,Asia
Lao People's Democratic Republic,South-eastern Asia,Asia
China,Eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Costa Rica,Latin America and the Caribbean,Americas
Chile,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Greece,Southern Europe,Europe
Romania,Eastern Europe,Europe
Türkiye,Western Asia,Asia
Bulgaria,Eastern Europe,Europe
Serbia Montenegro,Southern Europe,Europe
Spain,Southern Europe,Europe
Morocco,Northern Africa,Africa
Angola,Sub-Saharan Africa,Africa
Nicaragua,Latin America and the Caribbean,Americas
Cameroon,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Colombia,Latin America and the Caribbean,Americas
Mexico,Latin America and the Caribbean,Americas
Lao People's Democratic Republic,South-eastern Asia,Asia
Burundi,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
United States of America,Northern America,Americas
Philippines,South-eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Cyprus,Western Asia,Asia
Ethiopia,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Thailand,South-eastern Asia,Asia
China,Eastern Asia,Asia
Peru,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
United States of America,Northern America,Americas
Bulgaria,Eastern Europe,Europe
Viet Nam,South-eastern Asia,Asia
Saudi Arabia,Western Asia,Asia
Pakistan,Southern Asia,Asia
Mali,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
India,Southern Asia,Asia
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Egypt,Northern Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Ecuador,Latin America and the Caribbean,Americas
Canada,Northern America,Americas
Argentina,Latin America and the Caribbean,Americas
Uruguay,Latin America and the Caribbean,Americas
Chile,Latin America and the Caribbean,Americas
Zambia,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
Ukraine,Eastern Europe,Europe
Japan,Eastern Asia,Asia
Japan,Eastern Asia,Asia
"China, Hong Kong Special Administrative Region",Eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Djibouti,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Egypt,Northern Africa,Africa
Costa Rica,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Russian Federation,Eastern Europe,Europe
Cambodia,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Republic of Korea,Eastern Asia,Asia
Republic of Korea,Eastern Asia,Asia
Jordan,Western Asia,Asia
India,Southern Asia,Asia
India,Southern Asia,Asia
Thailand,South-eastern Asia,Asia
Japan,Eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
United States of America,Northern America,Americas
Nigeria,Sub-Saharan Africa,Africa
France,Western Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Greece,Southern Europe,Europe
Brazil,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Thailand,South-eastern Asia,Asia
Central African Republic,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
United States of America,Northern America,Americas
Nigeria,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Brazil,Latin America and the Caribbean,Americas
Bangladesh,Southern Asia,Asia
Brazil,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Jordan,Western Asia,Asia
China,Eastern Asia,Asia
Israel,Western Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Cameroon,Sub-Saharan Africa,Africa
Nepal,Southern Asia,Asia
Russian Federation,Eastern Europe,Europe
China,Eastern Asia,Asia
Russian Federation,Eastern Europe,Europe
Bangladesh,Southern Asia,Asia
Mauritania,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Bhutan,Southern Asia,Asia
Paraguay,Latin America and the Caribbean,Americas
Morocco,Northern Africa,Africa
Ireland,Northern Europe,Europe
Ethiopia,Sub-Saharan Africa,Africa
Somalia,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
South Africa,Sub-Saharan Africa,Africa
Ethiopia,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
United States of America,Northern America,Americas
Niger,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Taiwan (Province of China),Eastern Asia,Asia
Nepal,Southern Asia,Asia
Algeria,Northern Africa,Africa
Kenya,Sub-Saharan Africa,Africa
Kenya,Sub-Saharan Africa,Africa
Angola,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
Panama,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Japan,Eastern Asia,Asia
Japan,Eastern Asia,Asia
Taiwan (Province of China),Eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Malaysia,South-eastern Asia,Asia
Rwanda,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
Bahrain,Western Asia,Asia
Slovakia,Eastern Europe,Europe
Ethiopia,Sub-Saharan Africa,Africa
Kenya,Sub-Saharan Africa,Africa
Sudan,Northern Africa,Africa
China,Eastern Asia,Asia
Croatia,Southern Europe,Europe
Greece,Southern Europe,Europe
Mali,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
China,Eastern Asia,Asia
India,Southern Asia,Asia
Republic of Korea,Eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Thailand,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,Sub-Saharan Africa,Africa
Cameroon,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
Republic of Korea,Eastern Asia,Asia
Türkiye,Western Asia,Asia
Russian Federation,Eastern Europe,Europe
Pakistan,Southern Asia,Asia
Bangladesh,Southern Asia,Asia
China,Eastern Asia,Asia
China,Eastern Asia,Asia
New Zealand,Australia and New Zealand,Oceania
China,Eastern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Rwanda,Sub-Saharan Africa,Africa
Mozambique,Sub-Saharan Africa,Africa
Niger,Sub-Saharan Africa,Africa
Afghanistan,Southern Asia,Asia
Kenya,Sub-Saharan Africa,Africa
Latvia,Northern Europe,Europe
Nepal,Southern Asia,Asia
India,Southern Asia,Asia
Yemen,Western Asia,Asia
Angola,Sub-Saharan Africa,Africa
Angola,Sub-Saharan Africa,Africa
Democratic People's Republic of Korea,Eastern Asia,Asia
Türkiye,Western Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Iran (Islamic Republic of),Southern Asia,Asia
Japan,Eastern Asia,Asia
Russian Federation,Eastern Europe,Europe
Italy,Southern Europe,Europe
Japan,Eastern Asia,Asia
China,Eastern Asia,Asia
Spain,Southern Europe,Europe
Iran (Islamic Republic of),Southern Asia,Asia
Viet Nam,South-eastern Asia,Asia
Lao People's Democratic Republic,South-eastern Asia,Asia
Russian Federation,Eastern Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
Peru,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Türkiye,Western Asia,Asia
Mali,Sub-Saharan Africa,Africa
Brazil,Latin America and the Caribbean,Americas
Iraq,Western Asia,Asia
Saudi Arabia,Western Asia,Asia
Israel,Western Asia,Asia
China,Eastern Asia,Asia
El Salvador,Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
United States of America,Northern America,Americas
India,Southern Asia,Asia
China,Eastern Asia,Asia
Republic of Korea,Eastern Asia,Asia
China,Eastern Asia,Asia
Ukraine,Eastern Europe,Europe
China,Eastern Asia,Asia
Japan,Eastern Asia,Asia
Argentina,Latin America and the Caribbean,Americas
Philippines,South-eastern Asia,Asia
Guatemala,Latin America and the Caribbean,Americas
India,Southern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Sri Lanka,Southern Asia,Asia
United States of America,Northern America,Americas
Azerbaijan,Western Asia,Asia
Republic of Korea,Eastern Asia,Asia
Bangladesh,Southern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Uganda,Sub-Saharan Africa,Africa
Yemen,Western Asia,Asia
Afghanistan,Southern Asia,Asia
Uganda,Sub-Saharan Africa,Africa
Greece,Southern Europe,Europe
Panama,Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Mali,Sub-Saharan Africa,Africa
Afghanistan,Southern Asia,Asia
Bangladesh,Southern Asia,Asia
Italy,Southern Europe,Europe
Serbia Montenegro,Southern Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
France,Western Europe,Europe
El Salvador,Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
North Macedonia,Southern Europe,Europe
Mexico,Latin America and the Caribbean,Americas
Belize,Latin America and the Caribbean,Americas
Mexico,Latin America and the Caribbean,Americas
Nicaragua,Latin America and the Caribbean,Americas
El Salvador,Latin America and the Caribbean,Americas
Brazil,Latin America and the Caribbean,Americas
Egypt,Northern Africa,Africa
Colombia,Latin America and the Caribbean,Americas
South Africa,Sub-Saharan Africa,Africa
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas
United Republic of Tanzania,Sub-Saharan Africa,Africa
United States of America,Northern America,Americas
United Republic of Tanzania,Sub-Saharan Africa,Africa
Kenya,Sub-Saharan Africa,Africa
Nepal,Southern Asia,Asia
Japan,Eastern Asia,Asia
Angola,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Australia,Australia and New Zealand,Oceania
Uganda,Sub-Saharan Africa,Africa
Türkiye,Western Asia,Asia
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Brazil,Latin America and the Caribbean,Americas
Guatemala,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Colombia,Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Italy,Southern Europe,Europe
Switzerland,Western Europe,Europe
Bosnia and Herzegovina,Southern Europe,Europe
Singapore,South-eastern Asia,Asia
Pakistan,Southern Asia,Asia
Kyrgyzstan,Central Asia,Asia
China,Eastern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Ireland,Northern Europe,Europe
Viet Nam,South-eastern Asia,Asia
China,Eastern Asia,Asia
Haiti,Latin America and the Caribbean,Americas
Malaysia,South-eastern Asia,Asia
Pakistan,Southern Asia,Asia
Argentina,Latin America and the Caribbean,Americas
Indonesia,South-eastern Asia,Asia
New Zealand,Australia and New Zealand,Oceania
Norway,Northern Europe,Europe
Zimbabwe,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Morocco,Northern Africa,Africa
Algeria,Northern Africa,Africa
Guinea,Sub-Saharan Africa,Africa
Malaysia,South-eastern Asia,Asia
Georgia,Western Asia,Asia
India,Southern Asia,Asia
Spain,Southern Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Russian Federation,Eastern Europe,Europe
Philippines,South-eastern Asia,Asia
Taiwan (Province of China),Eastern Asia,Asia
Taiwan (Province of China),Eastern Asia,Asia
Greece,Southern Europe,Europe
India,Southern Asia,Asia
Russian Federation,Eastern Europe,Europe
Bangladesh,Southern Asia,Asia
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
Philippines,South-eastern Asia,Asia
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Mexico,Latin America and the Caribbean,Americas
Angola,Sub-Saharan Africa,Africa
Egypt,Northern Africa,Africa
Indonesia,South-eastern Asia,Asia
Ecuador,Latin America and the Caribbean,Americas
Ecuador,Latin America and the Caribbean,Americas
China,Eastern Asia,Asia
Lao People's Democratic Republic,South-eastern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Sri Lanka,Southern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Austria,Western Europe,Europe
Egypt,Northern Africa,Africa
Pakistan,Southern Asia,Asia
Argentina,Latin America and the Caribbean,Americas
Uganda,Sub-Saharan Africa,Africa
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas
Peru,Latin America and the Caribbean,Americas
Angola,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
South Africa,Sub-Saharan Africa,Africa
Egypt,Northern Africa,Africa
Sri Lanka,Southern Asia,Asia
Greece,Southern Europe,Europe
Tajikistan,Central Asia,Asia
India,Southern Asia,Asia
United States of America,Northern America,Americas
China,Eastern Asia,Asia
Angola,Sub-Saharan Africa,Africa
Viet Nam,South-eastern Asia,Asia
Papua New Guinea,Melanesia,Oceania
Australia,Australia and New Zealand,Oceania
Kenya,Sub-Saharan Africa,Africa
Italy,Southern Europe,Europe
Mozambique,Sub-Saharan Africa,Africa
South Africa,Sub-Saharan Africa,Africa
Thailand,South-eastern Asia,Asia
United States of America,Northern America,Americas
Somalia,Sub-Saharan Africa,Africa
Namibia,Sub-Saharan Africa,Africa
Germany,Western Europe,Europe
China,Eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Indonesia,South-eastern Asia,Asia
Philippines,South-eastern Asia,Asia
Lebanon,Western Asia,Asia
Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Bangladesh,Southern Asia,Asia
Azerbaijan,Western Asia,Asia
Indonesia,South-eastern Asia,Asia
Mexico,Latin America and the Caribbean,Americas
Russian Federation,Eastern Europe,Europe
Thailand,South-eastern Asia,Asia
Malaysia,South-eastern Asia,Asia
France,Western Europe,Europe
Argentina,Latin America and the Caribbean,Americas
Thailand,South-eastern Asia,Asia
Somalia,Sub-Saharan Africa,Africa
South Africa,Sub-Saharan Africa,Africa
China,Eastern Asia,Asia
Guinea,Sub-Saharan Africa,Africa
Syrian Arab Republic,Western Asia,Asia
Philippines,South-eastern Asia,Asia
Ukraine,Eastern Europe,Europe
India,Southern Asia,Asia
Mozambique,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
Philippines,South-eastern Asia,Asia
China,Eastern Asia,Asia
United Republic of Tanzania,Sub-Saharan Africa,Africa
Indonesia,South-eastern Asia,Asia
France,Western Europe,Europe
Nigeria,Sub-Saharan Africa,Africa
Nigeria,Sub-Saharan Africa,Africa
India,Southern Asia,Asia
